dataset,distractor_attention_mass,distractor_warrant_mass,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,model,primary_metric,seed,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_gate_mean,train_loss,train_warrant_logit_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements
hotpotqa,0.7363686731308646,0.7040516452984263,rag,LED,6.075,1,1.5917376450129919,0.9536138432366508,LED,0.5569313814724919,7,0.5423394322964825,0.2636313266090173,0.26363132696621466,0.5463549226289635,0.3179489749479889,0.2636408432317881,0.5569313814724919,0.3179489749479889,0.3179489749479889,0.32759405339805825,0.535259188626907,1.0,0.2520759059125125,0.9502931420619671,1.5938562934215252,1.674734198130094,warrant,1.0,1.7598622185843331,0.0
hotpotqa,0.7352338384333307,0.6995958334905349,rag,LED,12.201,2,1.5972246953419276,0.9491588984216962,LED,0.5621734858992141,7,0.5480727526270419,0.26476616128846736,0.2647661613924591,0.5515423714227282,0.32516099962436423,0.2648716761087966,0.5621734858992141,0.32516099962436423,0.32516099962436423,0.3323292302357836,0.5511713332177531,1.0,0.25208915591006775,0.9510288330224844,1.562980097073775,1.693721367762639,warrant,1.0,1.6466624907084875,0.0
hotpotqa,0.735959698034847,0.698494157719493,rag,LED,18.302,3,1.6162233522960119,0.946822566645486,LED,0.560143969602404,7,0.5445939989188434,0.26404030119174193,0.26404030111364485,0.5469737318830897,0.3230480488615349,0.2641737918143538,0.560143969602404,0.3230480488615349,0.3230480488615349,0.3306388696255201,0.5456072295423023,1.0,0.25079288680809414,0.947963345509309,1.5148153992799611,1.6229113844724803,warrant,1.0,1.5911657469613212,0.0
hotpotqa,0.7356876313774208,0.696114358851856,rag,LED,24.398,4,1.6933003323418754,0.9441408514976501,LED,0.5434652031322237,7,0.5309908700661697,0.2643123687806926,0.26431236897191873,0.5355803017749878,0.305892062528895,0.2645803220571818,0.5434652031322237,0.305892062528895,0.305892062528895,0.308095310332871,0.5174508061719834,1.0,0.25046849986175806,0.9453799999677218,1.4253927836051354,1.5616562824982863,warrant,1.0,1.5363579818180628,0.0
hotpotqa,0.7386221349222073,0.6875139629741519,rag,LED,30.499,5,1.8088598591940743,0.9299890398979187,LED,0.5394892438164587,7,0.5289056781187395,0.26137786528862395,0.26137786520523726,0.5351875045936715,0.30114153519417475,0.26187812284580314,0.5394892438164587,0.30114153519417475,0.30114153519417475,0.30116049757281554,0.5216442007628295,1.0,0.243985977562281,0.936275622019401,1.2960099027707026,1.3764410385718713,warrant,1.0,1.2569387980869837,0.0
hotpotqa,0.7365749358953088,0.6674723163677087,rag,LED,36.57,6,1.9383786405835832,0.9063297935894558,LED,0.5361663127022654,7,0.525390677673274,0.2634250623999172,0.2634250627829169,0.534558178482256,0.29202424294960705,0.2648708898328886,0.5361663127022654,0.29202424294960705,0.29202424294960705,0.28917085644937585,0.5272245579056866,1.0,0.24072226603056407,0.9107170701026917,1.1215264522112334,0.9634708005648392,warrant,1.0,0.9136946967669896,0.0
hotpotqa,0.7393758820561013,0.6464222161692371,rag,LED,42.68,7,2.151221547807966,0.8742443748882839,LED,0.5466128676895515,7,0.5320407311893204,0.26062412126520684,0.26062412039415594,0.5388049811006381,0.30428883856333794,0.26241646098998095,0.5466128676895515,0.30428883856333794,0.30428883856333794,0.31230495839112343,0.528627773925104,1.0,0.2301117412599384,0.8864902945665213,0.9357610069788419,0.6104577665145581,warrant,1.0,0.4101949802466801,0.0
hotpotqa,0.7401241756484478,0.6424466043923195,rag,LED,48.745,8,2.2827343940734863,0.866741486958095,LED,0.5567398614482201,7,0.5420269368113345,0.25987582295904893,0.25987582315355606,0.5423520316772243,0.31790202048659266,0.2619417155974779,0.5567398614482201,0.31790202048659266,0.31790202048659266,0.32732316227461855,0.536153129334258,1.0,0.22807311006625433,0.8554802949611957,0.7774263826700357,0.0883810781300641,warrant,1.0,0.2803377764565604,0.0
hotpotqa,0.7412564268325366,0.6289645593030341,rag,LED,54.838,9,2.572202886853899,0.8464042118617466,LED,0.5480492227230698,7,0.5327721071235938,0.2587435730954102,0.25874357307748547,0.5364837835427037,0.3052857178975959,0.26120804509149914,0.5480492227230698,0.3052857178975959,0.3052857178975959,0.31313388522884883,0.5350208044382802,1.0,0.2223540448377231,0.8598046394494864,0.6399067319356478,0.15180192231603612,warrant,1.0,-0.11219438963702746,0.0
hotpotqa,0.7410920213504862,0.6344987928329504,rag,LED,60.972,10,2.753631387438093,0.8493942788669041,LED,0.5535064147018031,7,0.5393280711227655,0.25890798047249935,0.2589079800587147,0.5406481651971806,0.3153321666955617,0.2609308782058277,0.5535064147018031,0.3153321666955617,0.3153321666955617,0.3170238817614424,0.5489716972954231,1.0,0.2239195954272933,0.8363040891977457,0.5426500164545499,-0.3262149945188027,warrant,1.0,-0.06470484718946475,0.0
