dataset,distractor_attention_mass,distractor_warrant_mass,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,model,primary_metric,seed,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_gate_mean,train_loss,train_warrant_logit_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements
hotpotqa,0.7367498073693792,0.7367498073693792,rag,LED,6.085,1,1.5916779041290283,1.0,LED,0.5569553101883958,7,0.5424559606280821,0.26325019230252655,0.26325019221082196,0.5466924645867115,0.3173909392337032,0.26325019221082196,0.5569553101883958,0.3173909392337032,0.3173909392337032,0.3270360176837725,0.5355463332177531,1.0,0.26325019230252655,1.0,1.5938136302507842,0.0,base,0.0,0.0,0.0
hotpotqa,0.7358717316544928,0.7358717316544928,rag,LED,12.148,2,1.5970184462411063,1.0,LED,0.5618107626849282,7,0.547940587857817,0.2641282696620821,0.26412826917017174,0.5514127595904562,0.32376591033865,0.26412826917017174,0.5618107626849282,0.32376591033865,0.32376591033865,0.3317711945214979,0.5506132975034674,1.0,0.2641282696620821,1.0,1.563105161373432,0.0,base,0.0,0.0,0.0
hotpotqa,0.7363029421003918,0.7363029421003918,rag,LED,18.214,3,1.6160359723227364,1.0,LED,0.5600735379103098,7,0.5440492368696063,0.26369705804032384,0.26369705816264044,0.5470734941002117,0.3216529595758206,0.26369705816264044,0.5600735379103098,0.3216529595758206,0.3216529595758206,0.3311969053398058,0.5439331223994452,1.0,0.26369705804032384,1.0,1.5150963985002959,0.0,base,0.0,0.0,0.0
hotpotqa,0.7362480833021253,0.7362480833021253,rag,LED,24.269,4,1.693629435130528,1.0,LED,0.5446877347723069,7,0.5311250815683272,0.26375191380383983,0.2637519144399027,0.5353439746926786,0.30394706426259827,0.2637519144399027,0.5446877347723069,0.30394706426259827,0.30394706426259827,0.30836620145631066,0.523860090152566,1.0,0.26375191380383983,1.0,1.4257042087041414,0.0,base,0.0,0.0,0.0
hotpotqa,0.7388823280078985,0.7388823280078985,rag,LED,30.313,5,1.8076738630022322,1.0,LED,0.5377168934928339,7,0.5269864747071968,0.26111767301925276,0.2611176728496138,0.5349469111938021,0.29845248930883034,0.2611176728496138,0.5377168934928339,0.29845248930883034,0.29845248930883034,0.298657463592233,0.5199700936199723,1.0,0.26111767301925276,1.0,1.296275964150062,0.0,base,0.0,0.0,0.0
hotpotqa,0.736724094079385,0.736724094079385,rag,LED,36.367,6,1.9388486657823836,1.0,LED,0.5346278317152103,7,0.5239972287838073,0.2632759063742876,0.2632759061746192,0.5341024801409184,0.2897537238499769,0.2632759061746192,0.5346278317152103,0.2897537238499769,0.2897537238499769,0.28666782246879335,0.5263956310679612,1.0,0.2632759063742876,1.0,1.1216752437444835,0.0,base,0.0,0.0,0.0
hotpotqa,0.7386235240725775,0.7386235240725775,rag,LED,42.422,7,2.1509906564440047,1.0,LED,0.5449201593562183,7,0.5306555745781323,0.2613764758426541,0.26137647590250157,0.5386876435305935,0.3013632144301895,0.26137647590250157,0.5449201593562183,0.3013632144301895,0.3013632144301895,0.30951477981969483,0.528627773925104,1.0,0.2613764758426541,1.0,0.935891887316337,0.0,base,0.0,0.0,0.0
hotpotqa,0.7397028698169997,0.7397028698169997,rag,LED,48.459,8,2.2866828441619873,1.0,LED,0.5580458275543227,7,0.5440417346904376,0.2602971284111381,0.26029712899897456,0.543249773663981,0.3198470187528895,0.26029712899897456,0.5580458275543227,0.3198470187528895,0.3198470187528895,0.32815208911234395,0.5414463418862691,1.0,0.2602971284111381,1.0,0.7768243413705093,0.0,base,0.0,0.0,0.0
hotpotqa,0.7407331355328232,0.7407331355328232,rag,LED,54.494,9,2.576043265206473,1.0,LED,0.5529983132512714,7,0.537002628847858,0.2592668638279017,0.2592668641744952,0.5371184177073474,0.3086298688164586,0.2592668641744952,0.5529983132512714,0.3086298688164586,0.3086298688164586,0.3189851334951456,0.5475522278085991,1.0,0.2592668638279017,1.0,0.6394074627986321,0.0,base,0.0,0.0,0.0
hotpotqa,0.7406945914965272,0.7406945914965272,rag,LED,60.509,10,2.7480393137250627,1.0,LED,0.5513686322526584,7,0.5375548027792225,0.2593054078106825,0.25930540814523395,0.5403269992939098,0.30994594819116966,0.25930540814523395,0.5513686322526584,0.30994594819116966,0.30994594819116966,0.3117306692094313,0.5528616938280166,1.0,0.2593054078106825,1.0,0.5433887369357623,0.0,base,0.0,0.0,0.0
