accuracy,auc,dataset,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,model,primary_metric,seed,train_gate_mean,train_loss,train_warrant_logit_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements
0.5753508236729713,0.6040651880397019,lastfm,ctdg,DyGFormer,1.147,1,0.7301807403564453,1.0,DyGFormer,0.6040651880397019,7,0.9999999850988388,0.7481048256158829,0.0,base,0.0,0.0,0.0
0.589993898718731,0.6217093936279394,lastfm,ctdg,DyGFormer,1.592,2,0.7003554105758667,1.0,DyGFormer,0.6217093936279394,7,0.9999999850988388,0.6933577656745911,0.0,base,0.0,0.0,0.0
0.6018913971934107,0.6413273022844255,lastfm,ctdg,DyGFormer,2.033,3,0.6833429336547852,1.0,DyGFormer,0.6413273022844255,7,0.9999999850988388,0.6688771545886993,0.0,base,0.0,0.0,0.0
0.6232458816351434,0.6654009330977199,lastfm,ctdg,DyGFormer,2.473,4,0.6646850109100342,1.0,DyGFormer,0.6654009330977199,7,0.9999999850988388,0.6446425169706345,0.0,base,0.0,0.0,0.0
0.6330079316656498,0.6814699360203044,lastfm,ctdg,DyGFormer,2.91,5,0.6492130756378174,1.0,DyGFormer,0.6814699360203044,7,0.9999999850988388,0.6161892265081406,0.0,base,0.0,0.0,0.0
0.6308724832214765,0.6893900617238223,lastfm,ctdg,DyGFormer,3.348,6,0.642510175704956,1.0,DyGFormer,0.6893900617238223,7,0.9999999850988388,0.5977915972471237,0.0,base,0.0,0.0,0.0
0.6467358145210494,0.7121602369932707,lastfm,ctdg,DyGFormer,3.787,7,0.6186242699623108,1.0,DyGFormer,0.7121602369932707,7,0.9999999850988388,0.5704130381345749,0.0,base,0.0,0.0,0.0
0.6507016473459426,0.7140445985420208,lastfm,ctdg,DyGFormer,4.226,8,0.6165595650672913,1.0,DyGFormer,0.7140445985420208,7,0.9999999850988388,0.5522354394197464,0.0,base,0.0,0.0,0.0
0.6668700427089689,0.7279278984157143,lastfm,ctdg,DyGFormer,4.67,9,0.6141685843467712,1.0,DyGFormer,0.7279278984157143,7,0.9999999850988388,0.5353079438209534,0.0,base,0.0,0.0,0.0
0.6632092739475289,0.7361004139118147,lastfm,ctdg,DyGFormer,5.113,10,0.6077488660812378,1.0,DyGFormer,0.7361004139118147,7,0.9999999850988388,0.5111676082015038,0.0,base,0.0,0.0,0.0
