accuracy,dataset,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,model,mrr,primary_metric,seed,train_gate_mean,train_loss,train_warrant_logit_mean,train_warrant_tail_mass_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements,warrant_tail_mass_mean
0.0006101281269066504,icews18,tkg,XERTE,0.046,1,18.12303924560547,1.0,xERTE,0.0010563185196271866,0.0010563185196271866,7,0.9999999850988388,24.715301513671875,0.0,0.0,base,0.0,0.0,0.0,0.0
0.0,icews18,tkg,XERTE,0.091,2,14.636861801147461,1.0,xERTE,0.0006196951970877523,0.0006196951970877523,7,0.9999999850988388,17.278780460357666,0.0,0.0,base,0.0,0.0,0.0,0.0
0.0006101281269066504,icews18,tkg,XERTE,0.136,3,12.989091873168945,1.0,xERTE,0.003985376119826697,0.003985376119826697,7,0.9999999850988388,14.4360511302948,0.0,0.0,base,0.0,0.0,0.0,0.0
0.011592434411226357,icews18,tkg,XERTE,0.181,4,12.158892631530762,1.0,xERTE,0.011996285041653261,0.011996285041653261,7,0.9999999850988388,12.849126815795898,0.0,0.0,base,0.0,0.0,0.0,0.0
0.011592434411226357,icews18,tkg,XERTE,0.225,5,11.639570236206055,1.0,xERTE,0.011994832010665885,0.011994832010665885,7,0.9999999850988388,11.99688458442688,0.0,0.0,base,0.0,0.0,0.0,0.0
0.011592434411226357,icews18,tkg,XERTE,0.27,6,11.310517311096191,1.0,xERTE,0.012036615373844059,0.012036615373844059,7,0.9999999850988388,11.441463708877563,0.0,0.0,base,0.0,0.0,0.0,0.0
0.011592434411226357,icews18,tkg,XERTE,0.315,7,11.096683502197266,1.0,xERTE,0.012136908161363591,0.012136908161363591,7,0.9999999850988388,11.141276836395264,0.0,0.0,base,0.0,0.0,0.0,0.0
0.011592434411226357,icews18,tkg,XERTE,0.36,8,10.936065673828125,1.0,xERTE,0.012214811374654237,0.012214811374654237,7,0.9999999850988388,10.860935926437378,0.0,0.0,base,0.0,0.0,0.0,0.0
0.011592434411226357,icews18,tkg,XERTE,0.404,9,10.817371368408203,1.0,xERTE,0.012347905255083455,0.012347905255083455,7,0.9999999850988388,10.605843782424927,0.0,0.0,base,0.0,0.0,0.0,0.0
0.011592434411226357,icews18,tkg,XERTE,0.449,10,10.717928886413574,1.0,xERTE,0.012706296781640241,0.012706296781640241,7,0.9999999850988388,10.49428105354309,0.0,0.0,base,0.0,0.0,0.0,0.0
